Code;Nom;S3REnR;TXA;INFO_TX;INFO_ESS3R;INFO_NA;INFO_CR;INFO_TRF;INFO_QP;INFO_FAS3R;RTE_CDR;RTE_TVX;RTE_ESS3R;RTE_FAS3R;GRD1_FAS3R;GRD1_CDR;GRD1_ESS3R;GRD1_PTRE;GRD1_TRE;GRD1_TVX;GRD2_FAS3R;GRD2_FACRS3R;GRD2_CDR;GRD2_ESS3R;GRD2_PTRE;GRD2_TRE;GRD2_TVX;GRD2_CTR;GRDHTB_TVX;GRDHTB_ESS3R;GRDHTB_FAS3R;GRDHTB_CDR
Code;Nom;S3REnR;"Taux d'affectation des capacités réservées";"Taux de remplissage de la capacité réservée";"Puissance des projets en service du S3REnR en cours";"Capacité d'accueil réservée au titre du S3REnR qui reste à affecter";"Capacité réservée aux EnR au titre du S3REnR";"Attention: la valeur de la capacité réservée a été modifiée sur ce poste";"Quote-Part unitaire actualisée ";"Puissance des projets en file d’attente du S3REnR en cours";"Capacité d'accueil réservée au titre du S3REnR, disponible vue du réseau public de transport ";"Travaux RTE indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible";"Puissance des installations raccordées dans le cadre du S3REnR en vigueur sur le RPT";"Puissance des projets entrés en FA sur le RPT dans le cadre du S3REnR en vigueur";"Puissance des projets entrés en FA sur le RPD du GRD1 dans le cadre du S3REnR en vigueur";"Capacité d’accueil réservée au titre du S3REnR, restante sans travaux sur le poste source";"Puissance des installations raccordées dans le cadre du S3REnR en vigueur sur le RPD du GRD1";"Puissance cumulée des transformateurs existants";"Nombre de transformateurs existants";"Travaux GRD indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible";"Puissance des projets entrés en FA sur le RPD du GRD2 dans le cadre du S3REnR en vigueur";"Dont la convention de raccordement est signée";"Capacité d'accueil réservée au titre du S3REnR, restante sans travaux sur le poste source";"Puissance des installations raccordées dans le cadre du S3REnR en vigueur sur le RPD du GRD2";"Puissance cumulée des transformateurs existants";"Nombre de transformateurs existants";"Travaux GRD indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible";"Capacité de transformation HTB/HTA restante disponible pour l'injection sur le réseau public de distribution";"Travaux indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible";"Puissance des installations raccordées dans le cadre du S3REnR en vigueur sur le RPD du GRDHTB";"Puissance des projets entrés en FA sur le RPD du GRDHTB dans le cadre du S3REnR en vigueur";"Capacité d'accueil réservée au titre du S3REnR, disponible vue du réseau public de distribution en HTB"
CUBNE;CUBNEZAIS;NOUVELLE-AQUITAINE;0%;100;16.2;0;79.2;"05/05/2025 : +50 MW depuis MARQUIS";92.73;72.1;0;;0;56;16.1;32;16.2;56;2;;;;;;;;;;;;;
CUBRY;CUBRY;"GRAND EST";0%;97;0.9;0.8;27.3;25.8;86.11;25.6;0.8;.;0;0;25.6;0.8;0.9;36;1;;;;;;;;;;;;;
CUDRA;CUDRAZ;AUVERGNE-RHôNE-ALPES;0%;;0;0;0;--;42.40;0;0;"Sans Objet";0;0;;0;;;;;;;;;;;;;;;;
CUISE;CUISEAUX;BOURGOGNE-FRANCHE-COMTé;0%;100;2.7;0;25.2;15.2;75;23.6;0;0;0;0;23.6;0;2.7;20;1;;;;;;;;;;;;;
CULOZ;CULOZ;AUVERGNE-RHôNE-ALPES;0%;;0;0;0;--;42.40;0;0;"Sans Objet";0;0;;0;;;;;;;;;;;;;;;;
CURBA;CURBANS;"PROVENCE-ALPES-CôTE D’AZUR";0%;;0;0;0;_;78.47;0;0;"travaux poste de Champagnier";0;0;;0;;;;;;;;;;;;;;;;
CUS.P;CUSSET-POSTE;AUVERGNE-RHôNE-ALPES;0%;41;12;20.5;34.9;"Transfert de -2MW le 05/05/23, Trsf de -7 MW le 22/05/25";42.40;2.4;20.5;"Sans Objet";0;0;2.4;20.5;12;112;3;;;;;;;;;;;;;
CXCON;CHAUCONIN;ÎLE-DE-FRANCE;0%;100;2.3;0;5.279;OUI;1.88;4.3;0;;0;0;4.3;0;2.3;108;3;;;;;;;;;;;;;
CXDAN;CHAUDANNE;"PROVENCE-ALPES-CôTE D’AZUR";0%;;0;0;0;_;78.47;0;0;"création d'un 2nd transformateur 225 / 150 kV à Lingostière";0;0;;0;;;0;;;;;;;;;;;;;
CXFFA;CHAUFFAILLES;BOURGOGNE-FRANCHE-COMTé;0%;100;3.7;0;7.3;-2.7;75;6.7;0;0;0;0;6.7;0;3.7;40;2;;;;;;;;;;;;;
"CXME ";"LA CHAUME";"CENTRE-VAL DE LOIRE";0%;79;13.1;7.3;35;;70.49;14.6;1;;0;0;14.6;7.3;13.1;76;3;;;;;;;;;;;;;
CXMO5;CHAUMONT;"GRAND EST";0%;78;7.9;8.5;39.3;37.8;86.11;22.9;0;"Schéma GE: renforcement de la liaison à 63 kV Chaumont - Rolampont";0;0;22.9;8.5;7.9;92;3;;;;;;;;;;;;;
CXMON;CHAUMONT;NOUVELLE-AQUITAINE;0%;100;5.3;0;7.2;"10/10/2022 : +1 MW depuis CHAUVIGNY | 10/10/2022 : +2 MW depuis ORANGERIE (L) | 04/07/2024 : +2 MW depuis EST VIENNE";92.73;4.4;0;;0;0;4.4;0;5.3;72;2;;;;;;;;;;;;;
CXNAY;CHAUNAY;"CENTRE-VAL DE LOIRE";0%;100;0;0;124.4;;70.49;124.4;0;;0;124.4;;0;;;;;;;;;;;;;;;;
CXS.E;"LA CHAUSSEE EST";"GRAND EST";0%;100;0;0;61.2;-98.8;86.11;76.4;0;"Schéma GE: raccordement d'un poste source 225/20 kV - 160 MVA";0;0;76.4;0;0;;;;;;;;;;;;;;;
CXS.O;"LA CHAUSSEE OUEST";"GRAND EST";0%;98;0;3.9;238.1;78.1;86.11;234.2;0;"Schéma GE: raccordement d'un poste source 225/20 kV - 160 MVA";0;0;234.2;0;0;;;;;;;;;;;;;;;
CXSSE;"LA CHAUSSEE";"GRAND EST";0%;100;10.4;0;228;228;86.11;219.2;0;.;0;216.7;2.5;101.3;10.4;108;3;;;;;;;;;;;;;
CXVIG;CHAUVIGNY;NOUVELLE-AQUITAINE;0%;54;23.1;25.9;56;"23/02/2023 : +2 MW depuis EST VIENNE | 01/07/2023 : +4 MW depuis EST VIENNE | 01/02/2024 : +5 MW depuis JAUNAY-CLAN | 28/03/2025 : +36 MW depuis EST VIENNE";92.73;7;25.9;;0;0;3;51.8;1.2;72;2;;4;1.4;33;21.9;36;1.0;;7.7;;;;
CZBAI;"LA COURBAISSE";"PROVENCE-ALPES-CôTE D’AZUR";0%;;0;0;0;_;78.47;0;0;;0;0;;0;;;;;;;;;;;;;;;;
CZBES;COURBESSAC;OCCITANIE;0%;;0;0;0;;84.13;0;0;;0;0;;0;;;;;;;;;;;;;;;;
CZBEV;COURBEVOIE;ÎLE-DE-FRANCE;0%;100;0.2;0.001;0.201;OUI;1.88;0;0;;0;0;0;0.001;0.2;140;5;;;;;;;;;;;;;
CZCEL;COURCELLES;ÎLE-DE-FRANCE;0%;0;0;0.081;0.081;OUI;1.88;0;0;;0;0;0;0.081;0;380;9;;;;;;;;;;;;;
CZEGE;COUREGES;"PROVENCE-ALPES-CôTE D’AZUR";0%;89;3.7;3.5;31;_;78.47;23.8;3.5;;0;0;23.8;3.5;3.7;72;2;;;;;;;;;;;;;
CZNEU;COURNEUVE(LA);ÎLE-DE-FRANCE;0%;100;0.9;0;0.817;OUI;1.88;0.6;0;;0;0;0.6;0;0.9;370;7;;;;;;;;;;;;;
CZPIE;COURPIERE;AUVERGNE-RHôNE-ALPES;0%;96;3.1;2.1;48.4;"Trsf de +33 MW le 30/09/24, Trsf de +3 MW le 07/11/25";42.40;43.2;0;"Sans Objet";0;40;3.2;16.6;3.1;20;1;;;;;;;;;;;;;
CZRIE;COURRIERES;HAUTS-DE-FRANCE;0%;;0;0;0;NON;77.62;0;0;Non;0;0;;0;;;;;;;;;;;;;;;;
CZTEN;COURTENAY;"CENTRE-VAL DE LOIRE";0%;100;6.5;0;31.5;;70.49;31.6;0;;0;0;31.6;0;6.5;40;2;;;;;;;;;;;;;
CZTIL;"LA COURTILLERE";NOUVELLE-AQUITAINE;0%;100;9.6;0;38.7;"07/06/2023 : -2 MW vers MONTGUYON | 07/05/2024 : +8 MW depuis BESSANGES | 14/05/2024 : +5 MW depuis BARBEZIEUX";92.73;35.6;0;;0;0;35.6;0;9.6;66;2;;;;;;;;;;;;;
CZTIN;COURTINE;"PROVENCE-ALPES-CôTE D’AZUR";0%;22;4.3;60.5;78;"Trf d'Avignon (+ 50 MW) Trf de VALDE (+4 MW)";78.47;13.2;24;;0;0;13.2;60.5;4.3;72;2;;;;;;;;;;;;;
CZTRY;COURTRY;ÎLE-DE-FRANCE;0%;100;0.6;0;0.484;OUI;1.88;4.8;0;;0;0;4.8;0;0.6;40;2;;;;;;;;;;;;;
D.FON;DOUE-LA-FONTAINE;"PAYS DE LA LOIRE";0%;7;2.2;68.7;74;;46.49;3.1;11;;0;0;3.1;50.9;2.2;51;2;;;;;;;;;;;;;
D.FRA;DIGUE-DES-FRANCAIS;"PROVENCE-ALPES-CôTE D’AZUR";0%;1;0.8;97.6;99;_;78.47;0.6;75;;0;0;0.6;97.6;0.8;210;3;;;;;;;;;;;;;
D.INF;DRAC-INFERIEUR;AUVERGNE-RHôNE-ALPES;0%;100;1.4;0;12.9;--;42.40;12.1;0;"Sans Objet";0;0;12.1;0;1.4;92;3;;;;;;;;;;;;;
D.PAL;"DUN LE PALESTEL";NOUVELLE-AQUITAINE;0%;100;9.2;0;15.4;"15/02/2024 : +2 MW depuis VILLE-SOUS-GRANGE | 06/08/2024 : +2 MW depuis SUD CREUSE";92.73;10.9;0;;0;0;10.9;0;9.2;20;1;;;;;;;;;;;;;
D.ROU;DEVILLE-LES-ROUEN;NORMANDIE;0%;30;0.6;1.4;2;OUI;17.81;0;0;;0;0;0;1.4;0.6;72;2;;;;;;;;;;;;;
DALST;DALSTEIN;"GRAND EST";0%;100;1.8;0;4;1.5;86.11;3.3;0;.;0;0;3.3;0;1.8;40;2;;;;;;;;;;;;;
DAMBR;DAMBRON;"CENTRE-VAL DE LOIRE";0%;;0;0;0;;70.49;0;0;;0;0;;0;;;;;;;;;;;;;;;;
DAMER;DAMERY;"GRAND EST";0%;;0;0;0;0;86.11;0;0;.;0;0;;0;;;;;;;;;;;;;;;;
DAMVI;DAMVILLE;NORMANDIE;0%;94;11.2;0.8;13;OUI;17.81;1;0.8;;0;0;1;0.8;11.2;72;2;;;;;;;;;;;;;
DANCE;"LA DANCE";BOURGOGNE-FRANCHE-COMTé;0%;37;1.4;18.9;30;28;75;9.7;2;0;0;0;9.7;18.9;1.4;40;2;;;;;;;;;;;;;
DANT5;DANTON;ÎLE-DE-FRANCE;0%;100;0.2;0;0.398;OUI;1.88;0.4;0;;0;0;0.4;0;0.2;220;7;;;;;;;;;;;;;
DANTO;DANTOU;NOUVELLE-AQUITAINE;0%;;0;0;0;;92.73;0;0;;0;0;;0;;;;;;;;;;;;;;;;
DARCE;DARCEY;BOURGOGNE-FRANCHE-COMTé;0%;100;0;0;99;41;75;99;0;;0;99;;0;;;;;;;;;;;;;;;;
DARDI;DARDILLY;AUVERGNE-RHôNE-ALPES;0%;46;3.3;5.2;9.7;--;42.40;1.2;5.2;"Sans Objet";0;0;1.2;5.2;3.3;108;3;;;;;;;;;;;;;
DARNE;DARNEY;"GRAND EST";0%;100;5.1;0;8.9;-38.1;86.11;4.5;0;"Schéma GE: renforcement des liaisons à 63 kV Bains les Bains - Darney et Darney - Vittel";0;0;4.5;0;5.1;40;2;;;;;;;;;;;;;
DARSE;DARSE;"PROVENCE-ALPES-CôTE D’AZUR";0%;14;0;24.2;28;"Transfert vers Feuillane (- 80 MW)";78.47;3.8;24.2;;0;0;3.8;24.2;0;56;2;;;;;;;;;;;;;
"DAUX ";DAUX;OCCITANIE;0%;100;6.7;0;23;;84.13;19.7;0;;0;0;19.7;0;6.7;72;2;;;;;;;;;;;;;
"DAX  ";DAX;NOUVELLE-AQUITAINE;0%;98;20.2;0.8;38.9;"28/04/2022 : -1 MW vers RION-DES-LANDES";92.73;17.9;0;;0;0;17.9;0.8;20.2;108;3;;;;;;;;;;;;;
DEBON;DEBONNAIRE;"GRAND EST";0%;18;0.52;2.46;3;2;86.11;0.02;1;.;0;0;;2.9;0.1;72;2.0;;;;;;;;;;;0.42;0.02;2.56
DECHY;DECHY;HAUTS-DE-FRANCE;0%;99;0;0.3;33.3;33.3;77.62;33;0;Non;0;33;;0;;;;;;;;;;;;;;;;
DECIN;DECINES;AUVERGNE-RHôNE-ALPES;0%;53;2;3.2;6.8;--;42.40;1.6;3.2;"Sans Objet";0;0;1.6;3.2;2;70;1;;;;;;;;;;;;;
DEFOI;DEFOIS;BOURGOGNE-FRANCHE-COMTé;0%;75;0;138.7;545;0;75;406.3;0;0;0;406.3;;0;;;;;;;;;;;;;;;;
DEGA5;DEGAGNAC;OCCITANIE;0%;95;0.8;0.8;15;;84.13;13.4;0.8;"En attente travaux EI réhabilitation ligne MEYMES - MARTILOQUE";0;0;13.4;0.8;0.8;20;1;;;;;;;;;;;;;
DELLE;DELLE;BOURGOGNE-FRANCHE-COMTé;0%;100;4.2;0;5.2;2.2;75;3.3;0;0;0;0;3.3;0;4.2;72;2;;;;;;;;;;;;;
DENAI;DENAIN;HAUTS-DE-FRANCE;0%;17;0.9;31.9;38.6;NON;77.62;5.8;31.9;Oui;0;0;5.8;31.9;0.9;112;4;;;;;;;;;;;;;
DEOLS;DEOLS;"CENTRE-VAL DE LOIRE";0%;98;1.5;0.8;36.5;;70.49;34.2;0;;0;0;34.2;0.8;1.5;72;2;;;;;;;;;;;;;
DERVA;DERVAL;"PAYS DE LA LOIRE";0%;88;4.4;1.5;13;"Dernier(s) transfert(s) : 2024-09-09 : +1 MW depuis FREIGNE | 2024-09-09 : +1 MW depuis FREIGNE | 2024-12-13 : +2 MW depuis ISSE | 2025-05-26 : +3 MW depuis NORT-SUR-ERDRE | 2025-05-26 : +2 MW depuis NORT-SUR-ERDRE";46.49;7.1;0;;0;0;7.1;1.5;4.4;108;3;;;;;;;;;;;;;
